epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,0,,,,1.847214698791504
0,0,,,1.8383439779281616,
0,1,,,1.578080654144287,
0,2,,,1.45271897315979,
0,3,,,1.3944650888442993,
0,4,,,1.3241889476776123,
0,5,,,1.2361304759979248,
0,6,,,1.2403523921966553,
0,7,,,1.147717833518982,
0,8,,,1.1519129276275635,
0,9,,,1.1306664943695068,
0,10,,,1.0940968990325928,
0,11,,,1.1004505157470703,
0,12,,,1.0822482109069824,
0,13,,,1.0578820705413818,
0,14,,,1.079535722732544,
0,15,,,1.0221736431121826,
0,16,,,0.9976326823234558,
0,17,,,1.0034202337265015,
0,18,,,1.0007094144821167,
0,19,,,0.956946849822998,
0,20,,,0.9562360048294067,
0,21,,,0.9756916165351868,
0,21,0.9041942358016968,1.1739909648895264,,
1,22,,,0.9373373985290527,
1,23,,,0.9303929805755615,
1,24,,,0.9158312678337097,
1,25,,,0.9178200364112854,
1,26,,,0.9126765727996826,
1,27,,,0.9041903018951416,
1,28,,,0.8803591728210449,
1,29,,,0.9006381034851074,
1,30,,,0.8893829584121704,
1,31,,,0.8476293087005615,
1,32,,,0.8695618510246277,
1,33,,,0.8779908418655396,
1,34,,,0.8543832898139954,
1,35,,,0.8315867185592651,
1,36,,,0.8469530940055847,
1,37,,,0.8297094106674194,
1,38,,,0.8237351179122925,
1,39,,,0.8203789591789246,
1,40,,,0.7921245694160461,
1,41,,,0.7969770431518555,
1,42,,,0.8024080991744995,
1,43,,,0.770675778388977,
1,43,,0.8616175651550293,,
2,44,,,0.7746110558509827,
2,45,,,0.7787407636642456,
2,46,,,0.8022458553314209,
2,47,,,0.7541682720184326,
2,48,,,0.7376205325126648,
2,49,,,0.7538028955459595,
2,50,,,0.730244517326355,
2,51,,,0.7176510095596313,
2,52,,,0.7378028631210327,
2,53,,,0.7204034328460693,
2,54,,,0.7369207143783569,
2,55,,,0.7083523869514465,
2,56,,,0.7053232192993164,
2,57,,,0.7016443014144897,
2,58,,,0.7114265561103821,
2,59,,,0.685728132724762,
2,60,,,0.6893158555030823,
2,61,,,0.6947565078735352,
2,62,,,0.6542438864707947,
2,63,,,0.6645696759223938,
2,64,,,0.6582783460617065,
2,65,,,0.6550310850143433,
2,65,,,,0.5315107107162476
2,65,,0.7170372605323792,,
3,66,0.5896797180175781,,,
